,Statistics,Power_kW,temp_C,HR,windSpeed_m/s,windGust_m/s,pres_mbar,solarRad_W/m2,rain_mm/h,rain_day,WeekDay,Hour,WorkDay,Power-1h
mean,mean,187.5237229952013,16.274586261128203,60.00608075096582,1.771601558065907,2.277454173873344,1018.991800190495,207.49797304366467,0.05081549551307406,0.601205649277154,2.982643177533641,11.516609243970617,0.7222908405382565,187.5242364557356
std,std,80.02663120051825,5.219728772450869,17.333957769181332,2.573536665984335,3.280958572284369,6.60428713746406,285.1337970282826,0.3770515928132398,2.54443448585269,1.9756409868924398,6.915408722642932,0.4478837154558599,80.026158621621
min,min,81.673046,2.9484166666666667,9.680833333333332,0.0,0.0,979.9166666666666,0.0,0.0,0.0,0.0,0.0,0.0,81.673046
25%,25%,130.61743239999998,12.370416666666666,48.08583333333334,0.0,0.0,1015.8333333333334,1.697916666666667,0.0,0.0,1.0,6.0,0.0,130.61743239999998
50%,50%,145.8971696,15.880833333333335,62.274166666666666,0.0,0.0,1019.0,17.210083333333333,0.0,0.0,3.0,12.0,1.0,145.8971696
75%,75%,248.7630964,19.454166666666666,73.175,3.5212499999999998,4.486583333333334,1022.5833333333334,375.8416666666667,0.0,0.0,5.0,18.0,1.0,248.7630964
max,max,475.2543705,41.04833333333333,98.625,14.568333333333333,19.414166666666663,1039.5833333333333,1053.825,16.408333333333335,34.5,6.0,23.0,1.0,475.2543705
