,0
0,-99725094.69554058
1,-16435178.93615014
2,-9753562.157776272
3,-6405137.734062469
4,-4861699.160185701
5,-3759261.8971738843
6,-3054035.7445023344
7,-2615850.085369828
8,-2286128.7139365603
9,-2017887.2039373876
10,-1812932.1461394976
11,-1657137.768569766
12,-1528136.707560838
13,-1394698.4154572026
14,-1309449.2390606108
15,-1227769.5683902975
16,-1161679.40107244
17,-1106565.770594897
18,-1066629.0805196785
